,Country,City,Temperature,Max Temperature,Humidity,Cloud,Wind Speed,Latitude,Longtitude
86,CA,La Ronge,267.15,267.15,73,75,3.6,55.1,-105.28
87,AZ,Ağdam,275.46,275.46,74,99,3.92,39.99,46.93
88,RU,Pangody,274.71,274.71,97,100,9.73,65.85,74.49
89,CG,Mossendjo,295.76,295.76,87,100,0.53,-2.95,12.73
90,ID,Ambulu,301.42,301.42,75,100,2.2,-8.35,113.61
91,AU,Mount Gambier,288.15,288.15,67,90,6.2,-37.83,140.77
92,PT,Lata,285.72,287.04,100,40,1.5,40.16,-8.33
93,AO,Camabatela,291.76,291.76,65,21,1.17,-8.19,15.38
94,MZ,Quelimane,304.15,304.15,70,20,2.6,-17.88,36.89
95,LK,Kalmunai,304.31,304.31,55,52,1.11,7.42,81.82
96,ID,Samarinda,302.19,302.19,71,98,2.24,-0.5,117.15
97,ID,Kendari,299.04,299.04,84,100,2.49,-3.94,122.5
98,BR,São João da Barra,296.61,296.61,90,65,4.84,-21.64,-41.05
99,MX,Pochutla,299.82,299.82,73,5,3.09,15.74,-96.47
100,RU,Ayan,274.73,274.73,84,0,4.69,56.45,138.17
101,NU,Alofi,300.15,300.15,88,100,2.1,-19.06,-169.92
102,US,Fortuna,282.88,284.15,93,90,2.12,40.6,-124.16
103,CA,Shelburne,278.06,279.26,87,90,3.1,44.08,-80.2
104,CN,Yumen,292.39,292.39,11,85,5.27,40.28,97.2
105,AO,Soyo,301.15,301.15,88,20,1.0,-6.13,12.37
106,CA,Haines Junction,266.06,266.06,86,100,2.77,60.75,-137.51
107,US,Saint George,284.02,286.48,47,1,1.5,37.1,-113.58
108,BY,Horki,282.15,282.15,57,30,8.0,54.29,30.98
109,US,Jamestown,282.51,283.71,93,90,3.1,42.1,-79.24
110,US,Nome,253.71,254.26,83,1,0.73,64.5,-165.41
111,ZM,Zambezi,292.51,292.51,65,0,1.73,-13.54,23.1
112,CA,Sept-Îles,266.76,267.15,57,75,3.6,50.2,-66.38
113,TR,Beşikdüzü,284.15,284.15,76,75,2.6,41.05,39.23
114,GR,Corinth,285.58,286.15,43,40,6.2,37.94,22.96
115,US,Barrow,251.15,251.15,76,1,5.1,71.29,-156.79
116,PE,Pisco,295.24,295.37,94,90,2.6,-13.7,-76.22
117,PT,Ribeira Grande,290.15,290.15,88,75,7.7,38.52,-28.7
118,CN,Gannan,281.15,281.15,47,100,7.51,47.91,123.5
119,CA,Matagami,262.15,262.15,85,1,1.69,49.75,-77.63
120,SR,Albina,298.29,298.29,84,100,1.56,5.5,-54.05
121,US,Saint Anthony,281.97,285.15,52,1,1.31,45.02,-93.22
122,MG,Toamasina,303.15,303.15,66,40,2.1,-18.17,49.38
123,GL,Paamiut,267.11,267.11,77,39,5.03,61.99,-49.67
124,VE,Upata,295.04,295.04,80,100,2.32,8.01,-62.4
125,MW,Chiradzulu,294.6,294.6,62,49,1.43,-15.67,35.14
126,MU,Bambous Virieux,302.1,302.15,58,40,6.7,-20.34,57.76
127,BR,Itaituba,297.14,297.14,92,100,0.24,-4.28,-55.98
128,CA,Thompson,262.15,262.15,92,75,1.0,55.74,-97.86
129,GL,Upernavik,261.33,261.33,88,45,4.05,72.79,-56.15
130,NZ,Kaitangata,285.37,285.37,69,81,0.45,-46.28,169.85
131,ID,Kupang,303.15,303.15,74,75,3.6,-10.17,123.58
132,CN,Jiaozuo,295.91,295.91,31,0,4.47,35.24,113.23
133,LK,Matara,304.85,304.85,59,29,3.84,5.95,80.54
134,IN,Port Blair,301.46,301.46,71,13,1.0,11.67,92.75
135,VN,Quang Ngai,301.21,301.21,68,78,5.62,15.12,108.8
136,IS,Grindavik,270.67,271.15,74,6,6.7,63.84,-22.43
137,SY,Abu Samrah,287.03,287.03,55,0,3.07,35.3,37.18
138,RS,Svrljig,281.74,283.15,29,0,5.1,43.41,22.12
139,JP,Hasaki,293.14,295.37,37,20,4.1,35.73,140.83
140,RU,Shushenskoye,292.15,292.15,32,18,1.0,53.33,91.94
141,FR,Alençon,286.33,286.48,87,98,1.37,48.43,0.08
142,AR,Presidencia Roque Sáenz Peña,285.1,285.1,58,0,2.05,-26.79,-60.44
143,IR,Mīnāb,302.15,302.15,62,17,3.1,27.15,57.08
144,MX,San Patricio,297.38,297.38,52,14,1.69,19.22,-104.7
145,NA,Rehoboth,290.02,290.02,21,6,2.52,-23.32,17.08
146,US,Myrtle Beach,292.77,294.15,73,1,6.2,33.69,-78.89
147,CA,Bon Accord,269.3,272.15,67,20,4.1,53.83,-113.42
148,NO,Tromsø,273.58,276.15,90,90,3.1,69.65,18.96
149,MW,Nsanje,302.16,302.16,56,22,0.2,-16.92,35.26
150,US,Gatesville,296.77,297.59,83,1,4.1,31.44,-97.74
151,MY,George Town,304.68,305.15,70,40,5.1,5.41,100.34
152,IS,Vestmannaeyjar,272.15,272.15,86,52,7.2,63.44,-20.27
153,RO,Piscu Vechi,283.15,283.15,55,0,1.27,43.9,23.17
154,RU,Zhatay,283.15,283.15,25,91,3.0,62.16,129.83
155,CL,Lebu,285.33,285.33,67,0,1.69,-37.62,-73.65
156,MX,Cabo San Lucas,291.4,292.59,79,99,4.17,22.89,-109.91
157,NZ,Dunedin,285.13,285.37,69,79,0.45,-45.87,170.5
158,AU,Mount Isa,306.15,306.15,15,100,2.6,-20.73,139.5
159,RU,Ozinki,277.31,277.31,62,62,7.34,51.18,49.68
160,PE,Pimentel,295.59,295.59,80,99,4.2,-6.84,-79.93
161,MX,Morelia,286.88,287.59,54,20,0.61,19.7,-101.18
162,SA,Faya,298.65,299.15,20,23,4.1,18.39,42.45
163,ET,Ginir,294.04,294.04,32,83,2.24,7.13,40.7
164,GL,Tasiilaq,270.15,270.15,63,49,5.7,65.61,-37.64
165,CI,Sakassou,296.92,298.15,83,81,3.1,7.45,-5.29
166,RU,Kozhva,263.58,263.58,94,85,3.04,65.11,57.05
167,MX,Camalú,285.37,285.37,58,94,1.79,30.85,-116.07
168,RU,Khatanga,266.42,266.42,96,100,3.57,71.97,102.5
169,NA,Walvis Bay,286.8,288.71,100,35,2.6,-22.96,14.51
170,RE,Saint-Philippe,298.66,302.15,58,90,2.1,-21.36,55.77
171,US,Greenwood,290.28,291.48,82,1,2.6,34.17,-82.12
172,OM,Salalah,304.15,304.15,55,0,3.1,17.02,54.09
173,RU,Pevek,258.69,258.69,95,100,2.59,69.7,170.31
174,MX,La Orilla,295.48,295.48,83,0,1.86,17.98,-102.23
175,UZ,Yangi Marg`ilon,284.15,284.15,62,75,5.1,40.43,71.72
176,JP,Shingū,290.15,290.15,63,0,1.5,33.73,135.98
177,CL,Taltal,290.86,290.86,76,31,0.75,-25.4,-70.48
178,BE,Kaprijke,285.83,287.04,76,89,2.1,51.21,3.63
179,ID,Banyumas,304.56,304.56,63,93,2.75,-7.51,109.29
180,PH,Dingle,304.58,304.58,58,49,6.09,11.0,122.67
181,GL,Narsaq,273.15,273.15,82,97,3.6,60.92,-46.05
182,BR,Oriximiná,297.43,297.43,94,100,3.28,-1.77,-55.87
183,BS,Marsh Harbour,295.83,295.83,80,6,4.55,26.54,-77.06
184,RU,Krasnosel'kup,275.47,275.47,99,100,9.2,65.7,82.47
185,PH,Tambilil,305.15,305.15,62,20,5.1,5.96,124.67
186,AR,Río Gallegos,286.15,286.15,58,100,2.6,-51.62,-69.22
187,DE,Görlitz,284.7,285.37,69,0,1.05,51.16,14.99
188,GL,Qaqortoq,273.15,273.15,83,99,3.6,60.72,-46.03
189,MX,Guadalupe Victoria,289.25,290.15,59,5,3.1,32.29,-115.11
190,NA,Lüderitz,288.15,288.15,67,0,0.5,-26.65,15.16
191,US,Cortez,273.72,276.48,58,1,2.6,37.35,-108.59
192,RU,Terney,274.01,274.01,92,100,7.76,45.05,136.61
193,US,Havelock,292.46,293.71,77,1,5.1,34.88,-76.9
194,AU,Maryborough,296.48,296.48,77,57,4.02,-25.53,152.7
195,NP,Wāliṅ,306.91,306.91,9,35,2.35,27.98,83.77
196,AU,Bowen,300.64,300.93,57,0,6.7,-20.02,148.23
197,CA,Ucluelet,279.02,280.93,84,32,0.45,48.93,-125.55
198,CN,Kumul,296.31,296.31,14,0,1.4,42.8,93.45
199,MZ,Inhambane,297.15,297.15,88,75,6.7,-23.86,35.38
200,IT,Laas,275.33,281.15,40,5,2.1,46.62,10.7
201,SO,Bosaso,302.38,302.38,54,42,1.94,11.28,49.18
202,MX,Celestún,299.79,299.79,75,0,4.79,20.87,-90.4
203,PE,Pangoa,293.22,293.22,82,100,1.36,-12.12,-73.0
204,BR,Itabirito,294.15,294.15,83,75,2.1,-20.25,-43.8
205,CA,Kirkland Lake,271.15,271.15,74,90,2.6,48.14,-80.04
206,RU,Arzgir,279.47,279.47,47,0,3.6,45.37,44.22
207,BR,Peruíbe,294.79,294.79,79,100,4.97,-24.32,-47.0
208,IR,Tabas,292.15,292.15,55,95,5.1,33.6,56.92
209,AR,Rawson,287.6,287.6,40,0,3.57,-43.3,-65.1
210,RU,Severo-Kuril'sk,274.02,274.02,91,99,9.68,50.68,156.12
211,AU,Esperance,303.15,303.15,25,45,5.7,-33.87,121.9
212,BR,Carutapera,299.63,299.63,84,100,3.45,-1.2,-46.02
213,AU,Mackay,299.61,301.48,69,3,6.2,-21.15,149.2
214,GA,Lékoni,297.38,297.38,73,100,1.67,-1.58,14.26
215,GL,Maniitsoq,266.98,266.98,85,98,3.44,65.42,-52.9
216,EC,Muisne,298.12,298.12,85,91,2.01,0.6,-80.03
217,GE,Khani,286.15,286.15,35,0,15.4,41.96,42.96
218,GF,Sinnamary,299.33,299.33,83,100,6.29,5.38,-52.95
219,CO,Inírida,297.6,297.6,94,100,0.97,3.87,-67.92
220,ES,Los Llanos de Aridane,292.15,292.15,77,20,3.6,28.66,-17.92
221,SJ,Longyearbyen,255.15,255.15,64,20,4.6,78.22,15.64
222,US,Juneau,274.4,274.82,86,90,6.2,58.3,-134.42
223,ZA,Richards Bay,293.01,293.01,62,97,6.22,-28.78,32.04
224,RU,Gubkinskiy,275.79,275.79,97,100,10.3,64.43,76.5
225,RU,Beringovskiy,262.02,262.02,89,3,2.34,63.05,179.32
226,CL,Coyhaique,278.15,278.15,93,0,0.29,-45.58,-72.07
227,RU,Otradnoye,280.27,280.37,70,93,6.0,59.78,30.82
228,NE,Ouallam,301.59,301.59,12,77,3.52,14.32,2.09
229,RU,Baykit,283.13,283.13,68,63,3.56,61.67,96.37
230,BR,Caçador,279.07,279.07,65,0,0.81,-26.78,-51.02
231,US,Sitka,275.99,276.15,64,90,7.2,57.05,-135.33
232,RU,Talnakh,276.15,276.15,74,100,11.0,69.49,88.4
233,TZ,Matonga,292.58,292.58,62,52,2.22,-2.38,34.08
234,RO,Asău,282.65,283.15,42,0,1.0,46.43,26.4
235,RU,Muzhi,266.48,266.48,94,99,10.43,65.37,64.67
236,RU,Orotukan,267.41,267.41,86,1,1.29,62.27,151.7
